Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Scott Agness,The Athletic,"Doncic, Luka (DAL)","Young, Trae (ATL)","Jackson Jr., Jaren (MEM)","Ayton, Deandre (PHX)","Gilgeous-Alexander, Shai (LAC)","Sexton, Collin (CLE)","Bagley III, Marvin (SAC)","Shamet, Landry (LAC)","Huerter, Kevin (ATL)","Bridges, Mikal (PHX)",2018
Marv Albert,Turner Sports,"Doncic, Luka (DAL)","Jackson Jr., Jaren (MEM)","Ayton, Deandre (PHX)","Young, Trae (ATL)","Sexton, Collin (CLE)","Bagley III, Marvin (SAC)","Bridges, Mikal (PHX)","Robinson, Mitchell (NYK)","Gilgeous-Alexander, Shai (LAC)","Shamet, Landry (LAC)",2018
Sam Amick,The Athletic,"Young, Trae (ATL)","Doncic, Luka (DAL)","Ayton, Deandre (PHX)","Jackson Jr., Jaren (MEM)","Sexton, Collin (CLE)","Gilgeous-Alexander, Shai (LAC)","Shamet, Landry (LAC)","Robinson, Mitchell (NYK)","Bridges, Mikal (PHX)","Bagley III, Marvin (SAC)",2018
Jason Anderson,Sacramento Bee,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)","Gilgeous-Alexander, Shai (LAC)","Bagley III, Marvin (SAC)","Jackson Jr., Jaren (MEM)","Sexton, Collin (CLE)","Shamet, Landry (LAC)","Robinson, Mitchell (NYK)","Huerter, Kevin (ATL)",2018
Greg Anthony,Turner Sports,"Ayton, Deandre (PHX)","Young, Trae (ATL)","Doncic, Luka (DAL)","Sexton, Collin (CLE)","Bagley III, Marvin (SAC)","Gilgeous-Alexander, Shai (LAC)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Shamet, Landry (LAC)","Knox, Kevin (NYK)",2018
Kevin Arnovitz,ESPN,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)","Bagley III, Marvin (SAC)","Gilgeous-Alexander, Shai (LAC)","Jackson Jr., Jaren (MEM)","Bridges, Mikal (PHX)","Robinson, Mitchell (NYK)","Shamet, Landry (LAC)","Brown, Bruce (DET)",2018
Steve Aschburner,NBA.com,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)","Jackson Jr., Jaren (MEM)","Sexton, Collin (CLE)","Gilgeous-Alexander, Shai (LAC)","Bagley III, Marvin (SAC)","Huerter, Kevin (ATL)","Robinson, Mitchell (NYK)","Shamet, Landry (LAC)",2018
Jon Barry,ESPN,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)","Sexton, Collin (CLE)","Bagley III, Marvin (SAC)","Bridges, Mikal (PHX)","Gilgeous-Alexander, Shai (LAC)","Shamet, Landry (LAC)","Huerter, Kevin (ATL)","Jackson Jr., Jaren (MEM)",2018
Michelle Beadle,ESPN,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)","Bagley III, Marvin (SAC)","Shamet, Landry (LAC)","Jackson Jr., Jaren (MEM)","Sexton, Collin (CLE)","Huerter, Kevin (ATL)","Trier, Allonzo (NYK)","Bagley III, Marvin (SAC)",2018
Rod Beard,Detroit News,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)","Jackson Jr., Jaren (MEM)","Gilgeous-Alexander, Shai (LAC)","Robinson, Mitchell (NYK)","Bagley III, Marvin (SAC)","Sexton, Collin (CLE)","Bridges, Mikal (PHX)","Shamet, Landry (LAC)",2018
Howard Beck,Bleacher Report,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)","Jackson Jr., Jaren (MEM)","Gilgeous-Alexander, Shai (LAC)","Shamet, Landry (LAC)","Robinson, Mitchell (NYK)","Sexton, Collin (CLE)","Bagley III, Marvin (SAC)","Bridges, Mikal (PHX)",2018
A. Blakely,NBC Sports Boston,"Young, Trae (ATL)","Doncic, Luka (DAL)","Sexton, Collin (CLE)","Bagley III, Marvin (SAC)","Ayton, Deandre (PHX)","Huerter, Kevin (ATL)","Robinson, Mitchell (NYK)","Gilgeous-Alexander, Shai (LAC)","Shamet, Landry (LAC)","Jackson Jr., Jaren (MEM)",2018
Stefan Bondy,New York Daily News,"Doncic, Luka (DAL)","Young, Trae (ATL)","Bagley III, Marvin (SAC)","Ayton, Deandre (PHX)","Gilgeous-Alexander, Shai (LAC)","Jackson Jr., Jaren (MEM)","Robinson, Mitchell (NYK)","Huerter, Kevin (ATL)","Sexton, Collin (CLE)","Shamet, Landry (LAC)",2018
Tim Bontemps,ESPN,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)","Jackson Jr., Jaren (MEM)","Robinson, Mitchell (NYK)","Sexton, Collin (CLE)","Gilgeous-Alexander, Shai (LAC)","Bagley III, Marvin (SAC)","Huerter, Kevin (ATL)","Shamet, Landry (LAC)",2018
Mike Breen,ESPN,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)","Bagley III, Marvin (SAC)","Jackson Jr., Jaren (MEM)","Sexton, Collin (CLE)","Shamet, Landry (LAC)","Robinson, Mitchell (NYK)","Gilgeous-Alexander, Shai (LAC)","Knox, Kevin (NYK)",2018
Chris Broussard,Fox Sports,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)","Bagley III, Marvin (SAC)","Gilgeous-Alexander, Shai (LAC)","Jackson Jr., Jaren (MEM)","Sexton, Collin (CLE)","Robinson, Mitchell (NYK)","Huerter, Kevin (ATL)","Knox, Kevin (NYK)",2018
Ric Bucher,Bleacher Report,"Doncic, Luka (DAL)","Young, Trae (ATL)","Gilgeous-Alexander, Shai (LAC)","Ayton, Deandre (PHX)","Jackson Jr., Jaren (MEM)","Bagley III, Marvin (SAC)","Shamet, Landry (LAC)","Huerter, Kevin (ATL)","Robinson, Mitchell (NYK)","Sexton, Collin (CLE)",2018
Doris Burke,ESPN,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)","Jackson Jr., Jaren (MEM)","Gilgeous-Alexander, Shai (LAC)","Sexton, Collin (CLE)","Bagley III, Marvin (SAC)","Shamet, Landry (LAC)","Robinson, Mitchell (NYK)","Bridges, Mikal (PHX)",2018
Dave Campbell,Associated Press,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)","Bagley III, Marvin (SAC)","Sexton, Collin (CLE)","Gilgeous-Alexander, Shai (LAC)","Jackson Jr., Jaren (MEM)","Knox, Kevin (NYK)","Bridges, Mikal (PHX)","Shamet, Landry (LAC)",2018
