Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Ailene Voisin,Sacramento Bee,"Brogdon, Malcolm (Mil.)","Embiid, Joel (Phi.)","Hield, Buddy (Sac.)","Saric, Dario (Phi.)","Murray, Jamal (Den.)","Brown, Jaylen (Bos.)","Chriss, Marquese (Pho.)","Hernangomez, Juan (Den.)","Ingram, Brandon (LA-L)","McGruder, Rodney (Mia.)",2016
Andrew Sharp,Sports Illustrated,"Saric, Dario (Phi.)","Brogdon, Malcolm (Mil.)","Embiid, Joel (Phi.)","Ingram, Brandon (LA-L)","Brown, Jaylen (Bos.)","Hernangomez, Willy (N.Y.)","Hernangomez, Juan (Den.)","Ulis, Tyler (Pho.)","LeVert, Caris (Bkn.)","Murray, Jamal (Den.)",2016
Anthony Slater,Bay Area News Group,"Brogdon, Malcolm (Mil.)","Murray, Jamal (Den.)","Hield, Buddy (Sac.)","Saric, Dario (Phi.)","Embiid, Joel (Phi.)","McGruder, Rodney (Mia.)","Brown, Jaylen (Bos.)","Hernangomez, Willy (N.Y.)","Chriss, Marquese (Pho.)","Ingram, Brandon (LA-L)",2016
Antoni Daimiel,Moviestar+,"Brogdon, Malcolm (Mil.)","Hield, Buddy (Sac.)","Saric, Dario (Phi.)","Hernangomez, Willy (N.Y.)","Embiid, Joel (Phi.)","Ferrell, Yogi (Dal.)","Murray, Jamal (Den.)","LeVert, Caris (Bkn.)","Chriss, Marquese (Pho.)","Labissiere, Skal (Sac.)",2016
Ben Golliver,Sports Illustrated,"Embiid, Joel (Phi.)","Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Hernangomez, Willy (N.Y.)","Brown, Jaylen (Bos.)","Murray, Jamal (Den.)","McGruder, Rodney (Mia.)","Chriss, Marquese (Pho.)","Ingram, Brandon (LA-L)","Hield, Buddy (Sac.)",2016
Bill Oram,Orange County Register,"Embiid, Joel (Phi.)","Hield, Buddy (Sac.)","Saric, Dario (Phi.)","Brogdon, Malcolm (Mil.)","Hernangomez, Willy (N.Y.)","Ferrell, Yogi (Dal.)","Ingram, Brandon (LA-L)","Murray, Jamal (Den.)","LeVert, Caris (Bkn.)","Brown, Jaylen (Bos.)",2016
Bill Simmons,The Ringer,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Embiid, Joel (Phi.)","Hield, Buddy (Sac.)","Ulis, Tyler (Pho.)","Ferrell, Yogi (Dal.)","Hernangomez, Juan (Den.)","Whitehead, Isaiah (Bkn.)","Brown, Jaylen (Bos.)","McCaw, Patrick (G.S.)",2016
Brent Barry,Turner,"Brogdon, Malcolm (Mil.)","Hield, Buddy (Sac.)","Saric, Dario (Phi.)","Chriss, Marquese (Pho.)","Embiid, Joel (Phi.)","Ferrell, Yogi (Dal.)","Murray, Jamal (Den.)","Ingram, Brandon (LA-L)","Brown, Jaylen (Bos.)","Hernangomez, Willy (N.Y.)",2016
Brian Lewis,New York Post,"Embiid, Joel (Phi.)","Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Hield, Buddy (Sac.)","Hernangomez, Willy (N.Y.)","LeVert, Caris (Bkn.)","Murray, Jamal (Den.)","Brown, Jaylen (Bos.)","McGruder, Rodney (Mia.)","Ingram, Brandon (LA-L)",2016
Brian Mahoney,Associated Press,"Embiid, Joel (Phi.)","Saric, Dario (Phi.)","Brogdon, Malcolm (Mil.)","Hield, Buddy (Sac.)","Hernangomez, Willy (N.Y.)","Brown, Jaylen (Bos.)","Ingram, Brandon (LA-L)","LeVert, Caris (Bkn.)","McGruder, Rodney (Mia.)","Murray, Jamal (Den.)",2016
