Voter,Affiliation,1st,2nd,3rd,4th,5th,Year,Award
Marv Albert,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Sam Amick,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Jason Anderson,Sacramento Bee,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)",2020,MVP
Greg Anthony,Turner,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Paul, Chris (OKC)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)",2020,MVP
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)",2020,MVP
Steve Aschburner,NBA.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Paul, Chris (OKC)",2020,MVP
Antoine Bancharel,Canal+ Afrique,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Harden, James (HOU)",2020,MVP
Renjun Bao,Tencent,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Evan Barnes,Memphis Commercial Appeal,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Jon Barry,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Lillard, Damian (POR)",2020,MVP
Rod Beard,Detroit News,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Doncic, Luka (DAL)",2020,MVP
Howard Beck,Bleacher Report,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Lillard, Damian (POR)",2020,MVP
Marc Berman,New York Post,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Harden, James (HOU)",2020,MVP
Tim Bontemps,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Paul, Chris (OKC)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Mike Breen,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2020,MVP
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Harden, James (HOU)",2020,MVP
Ric Bucher,Bleacher Report,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Harden, James (HOU)","Butler, Jimmy (MIA)",2020,MVP
Doris Burke,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)",2020,MVP
Shams Charania,The Athletic/Stadium,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)",2020,MVP
Anthony Chiang,Miami Herald,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Davide Chinellato,La Gazzetta dello Sport,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)","Davis, Anthony (LAL)",2020,MVP
Joe Cowley,Chicago Sun-Times,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","Harden, James (HOU)",2020,MVP
Antoni Daimiel,Movistar+,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Siakam, Pascal (TOR)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)",2020,MVP
Dan Devine,The Ringer,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)",2020,MVP
Amin Elhassan,ESPN,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Paul, Chris (OKC)",2020,MVP
Chris Fedor,Cleveland.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Mike Ganter,The Toronto Sun,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Vince Goodwill,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2020,MVP
Jared Greenberg,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)",2020,MVP
Will Guillory,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Kevin Harlan,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)",2020,MVP
Zach Harper,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Harden, James (HOU)",2020,MVP
Chris Haynes,Yahoo! Sports,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Davis, Anthony (LAL)","Doncic, Luka (DAL)",2020,MVP
Kurt Helin,NBCSports.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Adam Himmelsbach,Boston Globe,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Chris Hine,Minneapolis Star Tribune,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2020,MVP
Erik Horne,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Harden, James (HOU)",2020,MVP
