Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Ailene Voisin,Sacramento Bee,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)","Collins, John (ATL)","Markkanen, Lauri (CHI)","Adebayo, Bam (MIA)","Smith Jr., Dennis (DAL)",2017
Amin Elhassan,ESPN.com,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Smith Jr., Dennis (DAL)","Kuzma, Kyle (LAL)","Tatum, Jayson (BOS)","Collins, John (ATL)","Adebayo, Bam (MIA)","Anunoby, OG (TOR)","Ball, Lonzo (LAL)","Markkanen, Lauri (CHI)",2017
Andrew Sharp,Sports Illustrated,"Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Kuzma, Kyle (LAL)","Collins, John (ATL)","Smith Jr., Dennis (DAL)","Adebayo, Bam (MIA)","Jackson, Josh (PHX)","Bogdanovic, Bogdan (SAC)",2017
Anthony Slater,The Athletic,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Ball, Lonzo (LAL)","Bogdanovic, Bogdan (SAC)","Allen, Jarrett (BKN)","Fox, De'Aaron (SAC)","Smith Jr., Dennis (DAL)",2017
Ben Golliver,Sports Illustrated,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Adebayo, Bam (MIA)","Collins, John (ATL)","Ball, Lonzo (LAL)","Allen, Jarrett (BKN)",2017
Bill Oram,Orange County Register,"Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Ball, Lonzo (LAL)","Adebayo, Bam (MIA)","Collins, John (ATL)","Bogdanovic, Bogdan (SAC)","Smith Jr., Dennis (DAL)",2017
Bill Simmons,The Ringer,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Teodosic, Milos (LAC)","Jackson, Josh (PHX)","Bogdanovic, Bogdan (SAC)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Fox, De'Aaron (SAC)",2017
Brent Barry,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Ball, Lonzo (LAL)","Bogdanovic, Bogdan (SAC)","Anunoby, OG (TOR)","Markkanen, Lauri (CHI)","Adebayo, Bam (MIA)","Collins, John (ATL)",2017
Brett Dawson,The Oklahoman,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Adebayo, Bam (MIA)","Collins, John (ATL)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)",2017
Brian Mahoney,Associated Press,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Brooks, Dillon (MEM)","Collins, John (ATL)","Fox, De'Aaron (SAC)","Jackson, Josh (PHX)",2017
Brian Windhorst,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Kuzma, Kyle (LAL)","Bogdanovic, Bogdan (SAC)","Smith Jr., Dennis (DAL)","Collins, John (ATL)","Adebayo, Bam (MIA)","Ball, Lonzo (LAL)",2017
Cassidy Hubbarth,ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Jackson, Josh (PHX)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Allen, Jarrett (BKN)","Fox, De'Aaron (SAC)","Collins, John (ATL)",2017
Chase Hughes,NBCSportsWashington.com,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Jackson, Josh (PHX)","Bogdanovic, Bogdan (SAC)","Collins, John (ATL)",2017
Chris Broussard,Fox Sports,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Kuzma, Kyle (LAL)","Ball, Lonzo (LAL)","Smith Jr., Dennis (DAL)","Fox, De'Aaron (SAC)","Jackson, Josh (PHX)","Collins, John (ATL)",2017
Chris Haynes,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Smith Jr., Dennis (DAL)","Kuzma, Kyle (LAL)","Jackson, Josh (PHX)","Markkanen, Lauri (CHI)","Bogdanovic, Bogdan (SAC)","Fox, De'Aaron (SAC)","Allen, Jarrett (BKN)",2017
Chris Mannix,Yahoo!,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Fox, De'Aaron (SAC)","Collins, John (ATL)","Jackson, Josh (PHX)",2017
Chris Webber,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Markkanen, Lauri (CHI)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Smith Jr., Dennis (DAL)","Bogdanovic, Bogdan (SAC)","Fox, De'Aaron (SAC)","Jackson, Josh (PHX)","Ball, Lonzo (LAL)",2017
Clifton Brown,Indianapolis Star,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Jackson, Josh (PHX)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Mason, Frank (SAC)","Kennard, Luke (DET)",2017
Connor Letourneau,San Francisco Chronicle,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Collins, John (ATL)","Ball, Lonzo (LAL)","Bogdanovic, Bogdan (SAC)","Smith Jr., Dennis (DAL)","Adebayo, Bam (MIA)",2017
Dave McMenamin,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Jackson, Josh (PHX)","Fox, De'Aaron (SAC)","Bogdanovic, Bogdan (SAC)",2017
David Aldridge,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Bogdanovic, Bogdan (SAC)","Collins, John (ATL)","Smith Jr., Dennis (DAL)","Allen, Jarrett (BKN)","Brooks, Dillon (MEM)",2017
Davide Chinellato,La Gazetta dello Sport,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Allen, Jarrett (BKN)","Brooks, Dillon (MEM)","Bogdanovic, Bogdan (SAC)",2017
Dennis Scott,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Bogdanovic, Bogdan (SAC)","Kuzma, Kyle (LAL)","Ball, Lonzo (LAL)","Bell, Jordan (GSW)","Fox, De'Aaron (SAC)","Thornwell, Sindarius (LAC)","Adebayo, Bam (MIA)",2017
Diego Cabrera,Periódico Reforma,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Ball, Lonzo (LAL)","Smith Jr., Dennis (DAL)","Collins, John (ATL)","Fox, De'Aaron (SAC)","Jackson, Josh (PHX)",2017
Doris Burke,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Ball, Lonzo (LAL)","Smith Jr., Dennis (DAL)","Bogdanovic, Bogdan (SAC)","Jackson, Josh (PHX)","Collins, Zach (POR)",2017
Eddie Sefko,Dallas Morning News,"Ball, Lonzo (LAL)","Smith Jr., Dennis (DAL)","Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Markkanen, Lauri (CHI)","Tatum, Jayson (BOS)","Fox, De'Aaron (SAC)","Collins, John (ATL)","Adebayo, Bam (MIA)","Kuzma, Kyle (LAL)",2017
Elliott Teaford,Southern California News Group,"Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)","Collins, John (ATL)","Smith Jr., Dennis (DAL)","Markkanen, Lauri (CHI)","Adebayo, Bam (MIA)",2017
Ernie Johnson,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Anunoby, OG (TOR)","Jackson, Josh (PHX)","Collins, John (ATL)","Ball, Lonzo (LAL)",2017
Flavio Tranquillo,Sky Italia,"Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Ball, Lonzo (LAL)","Collins, John (ATL)","Bogdanovic, Bogdan (SAC)","Adebayo, Bam (MIA)","Anunoby, OG (TOR)",2017
Frank Isola,Sirius Radio/New York Daily News,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Anunoby, OG (TOR)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Teodosic, Milos (LAC)","Brooks, Dillon (MEM)","Fox, De'Aaron (SAC)",2017
