Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Aaron Falk,Salt Lake Tribune,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI","Payton, Elfrid -- ORL","Clarkson, Jordan -- LAL","Hood, Rodney -- UTA","Bogdanovic, Bojan -- BRK","Nurkic, Jusuf -- DEN","Galloway, Langston -- NY","Smart, Marcus -- BOS",2014
Alan Horton,WCCO 830-AM,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI","Payton, Elfrid -- ORL","Clarkson, Jordan -- LAL","Smart, Marcus -- BOS","Bogdanovic, Bojan -- BRK","LaVine, Zach -- MIN","Nurkic, Jusuf -- DEN","Black, Tarik -- LAL",2014
Andre Aldridge,Fox Sports South,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI","Payton, Elfrid -- ORL","Bogdanovic, Bojan -- BRK","Smart, Marcus -- BOS","Clarkson, Jordan -- LAL","LaVine, Zach -- MIN","Nurkic, Jusuf -- DEN","Black, Tarik -- LAL",2014
Andy Vasquez,Bergen Record,"Wiggins, Andrew -- MIN","Payton, Elfrid -- ORL","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI","Smart, Marcus -- BOS","Nurkic, Jusuf -- DEN","Clarkson, Jordan -- LAL","Bogdanovic, Bojan -- BRK","Hood, Rodney -- UTA","LaVine, Zach -- MIN",2014
Bill Land,Fox Sports Southwest,"LaVine, Zach -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL","Wiggins, Andrew -- MIN","Noel, Nerlens -- PHI","Clarkson, Jordan -- LAL","Bogdanovic, Bojan -- BRK","Smart, Marcus -- BOS","Nurkic, Jusuf -- DEN","Galloway, Langston -- NY",2014
Bill Oram,Orange County Register,"Noel, Nerlens -- PHI","Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL","Clarkson, Jordan -- LAL","McDaniels, K.J. -- HOU","Galloway, Langston -- NY","Nurkic, Jusuf -- DEN","Smart, Marcus -- BOS","Bogdanovic, Bojan -- BRK",2014
Bill Reiter,Foxsports.com,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL","Noel, Nerlens -- PHI","Clarkson, Jordan -- LAL","Smart, Marcus -- BOS","Nurkic, Jusuf -- DEN","LaVine, Zach -- MIN","Bogdanovic, Bojan -- BRK","Hood, Rodney -- UTA",2014
Bill Schoening,WOAI Radio,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI","Clarkson, Jordan -- LAL","Payton, Elfrid -- ORL","LaVine, Zach -- MIN","Bogdanovic, Bojan -- BRK","Hood, Rodney -- UTA","Nurkic, Jusuf -- DEN","Smart, Marcus -- BOS",2014
Bill Simmons,Grantland,"Payton, Elfrid -- ORL","Wiggins, Andrew -- MIN","Noel, Nerlens -- PHI","Mirotic, Nikola -- CHI","Smart, Marcus -- BOS","Hood, Rodney -- UTA","Galloway, Langston -- NY","Clarkson, Jordan -- LAL","Nurkic, Jusuf -- DEN","LaVine, Zach -- MIN",2014
Bob Fitzgerald,Comcast SportsNet Bay Area,"Mirotic, Nikola -- CHI","Wiggins, Andrew -- MIN","Smart, Marcus -- BOS","Payton, Elfrid -- ORL","Exum, Dante -- UTA","Nurkic, Jusuf -- DEN","Hood, Rodney -- UTA","Napier, Shabazz -- MIA","Clarkson, Jordan -- LAL","McGary, Mitch -- OKC",2014
