Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
Chris Kirschner,The Athletic,"Jackson Jr., Jaren (MEM)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Williams III, Robert (BOS)","Gobert, Rudy (UTA)","VanVleet, Fred (TOR)","Thybulle, Matisse (PHI)",2022,All-Defense
Eric Koreen,The Athletic,"Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Williams III, Robert (BOS)","Allen, Jarrett (CLE)","Thybulle, Matisse (PHI)","VanVleet, Fred (TOR)",2022,All-Defense
Scott Kushner,New Orleans Times-Picayune,"Green, Draymond (GSW)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jones, Herbert (NOP)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","White, Derrick (BOS)",2022,All-Defense
Zach Lowe,ESPN,"Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Embiid, Joel (PHI)","VanVleet, Fred (TOR)","Thybulle, Matisse (PHI)",2022,All-Defense
Brian Mahoney,Associated Press,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Williams III, Robert (BOS)","Gobert, Rudy (UTA)","Thybulle, Matisse (PHI)","Dosunmu, Ayo (CHI)",2022,All-Defense
Rob Mahoney,The Ringer,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Williams III, Robert (BOS)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2022,All-Defense
Chris Mannix,Sports Illustrated,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","VanVleet, Fred (TOR)","Holiday, Jrue (MIL)",2022,All-Defense
Diego Martinez,Reforma,"Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Antetokounmpo, Giannis (MIL)","Williams III, Robert (BOS)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2022,All-Defense
Jeff McDonald,San Antonio Express-News,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Thybulle, Matisse (PHI)","Williams III, Robert (BOS)","Murray, Dejounte (SAS)","VanVleet, Fred (TOR)",2022,All-Defense
Dave McMenamin,ESPN,"Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Beverley, Patrick (MIN)","Murray, Dejounte (SAS)",2022,All-Defense
Mark Medina,NBA.com,"Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Holiday, Jrue (MIL)","Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Thybulle, Matisse (PHI)","Paul, Chris (PHX)",2022,All-Defense
Yoko Miyaji,Sports Graphic Number,"Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Thybulle, Matisse (PHI)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Williams III, Robert (BOS)","VanVleet, Fred (TOR)","Holiday, Jrue (MIL)",2022,All-Defense
Joe Mussatto,The Oklahoman,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Thybulle, Matisse (PHI)","Smart, Marcus (BOS)","Jones, Herbert (NOP)","Green, Draymond (GSW)","Adebayo, Bam (MIA)","Beverley, Patrick (MIN)","VanVleet, Fred (TOR)",2022,All-Defense
Eric Nehm,The Athletic,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","Holiday, Jrue (MIL)","Murray, Dejounte (SAS)",2022,All-Defense
Kevin O'Connor,The Ringer,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Williams III, Robert (BOS)","Jackson Jr., Jaren (MEM)","Embiid, Joel (PHI)","VanVleet, Fred (TOR)","Murray, Dejounte (SAS)",2022,All-Defense
Bill Oram,The Athletic,"Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","Beverley, Patrick (MIN)",2022,All-Defense
Dave Pasch,ESPN,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Williams III, Robert (BOS)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2022,All-Defense
Kevin Pelton,ESPN,"Horford, Al (BOS)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Thybulle, Matisse (PHI)","Green, Draymond (GSW)","Jones, Herbert (NOP)","Adebayo, Bam (MIA)","Caruso, Alex (CHI)","Bridges, Mikal (PHX)",2022,All-Defense
Kendrick Perkins,ESPN,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Durant, Kevin (BKN)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Beverley, Patrick (MIN)","Caruso, Alex (CHI)",2022,All-Defense
Michael Pina,Sports Illustrated,"Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Mobley, Evan (CLE)","Antetokounmpo, Giannis (MIL)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","Payton II, Gary (GSW)",2022,All-Defense
Keith Pompey,Philadelphia Inquirer,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","VanVleet, Fred (TOR)","Holiday, Jrue (MIL)",2022,All-Defense
Steve Popper,Newsday,"Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Jackson Jr., Jaren (MEM)","Jones, Herbert (NOP)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","Beverley, Patrick (MIN)",2022,All-Defense
Shaun Powell,NBA.com,"Jackson Jr., Jaren (MEM)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Murray, Dejounte (SAS)","Antetokounmpo, Giannis (MIL)","Thybulle, Matisse (PHI)","Adebayo, Bam (MIA)","Holiday, Jrue (MIL)","VanVleet, Fred (TOR)",2022,All-Defense
Khobi Price,Orlando Sentinel,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Williams III, Robert (BOS)","Jackson Jr., Jaren (MEM)","Embiid, Joel (PHI)","VanVleet, Fred (TOR)","Thybulle, Matisse (PHI)",2022,All-Defense
Jason Quick,The Athletic,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Thybulle, Matisse (PHI)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Williams III, Robert (BOS)","Holiday, Jrue (MIL)","VanVleet, Fred (TOR)",2022,All-Defense
Duane Rankin,Arizona Republic,"Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Murray, Dejounte (SAS)","Jackson Jr., Jaren (MEM)","Green, Draymond (GSW)","Williams III, Robert (BOS)","Paul, Chris (PHX)","Thybulle, Matisse (PHI)",2022,All-Defense
Stephanie Ready,Turner,"Jackson Jr., Jaren (MEM)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)","Thybulle, Matisse (PHI)","Smart, Marcus (BOS)","Williams III, Robert (BOS)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Paul, Chris (PHX)","Holiday, Jrue (MIL)",2022,All-Defense
Bill Reiter,CBSSports.com,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","Embiid, Joel (PHI)","VanVleet, Fred (TOR)","Thybulle, Matisse (PHI)",2022,All-Defense
Remi Reverchon,BeIN Sport (France),"Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Thybulle, Matisse (PHI)","Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Williams III, Robert (BOS)","Holiday, Jrue (MIL)","White, Derrick (BOS)",2022,All-Defense
Tim Reynolds,Associated Press,"Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Beverley, Patrick (MIN)","Jackson Jr., Jaren (MEM)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Thybulle, Matisse (PHI)","Tatum, Jayson (BOS)",2022,All-Defense
Josh Robbins,The Athletic,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Lowry, Kyle (MIA)",2022,All-Defense
Melissa Rohlin,Fox Sports,"Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Paul, Chris (PHX)",2022,All-Defense
Taylor Rooks,Bleacher Report,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Green, Draymond (GSW)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","VanVleet, Fred (TOR)","Holiday, Jrue (MIL)",2022,All-Defense
Jalen Rose,ESPN,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Finney-Smith, Dorian (DAL)","Williams III, Robert (BOS)","Holiday, Jrue (MIL)","VanVleet, Fred (TOR)",2022,All-Defense
Ryen Russillo,The Ringer,"Jackson Jr., Jaren (MEM)","Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Mobley, Evan (CLE)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","Paul, Chris (PHX)",2022,All-Defense
John Schuhmann,NBA.com,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","VanVleet, Fred (TOR)","Antetokounmpo, Giannis (MIL)","Williams III, Robert (BOS)","Adebayo, Bam (MIA)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2022,All-Defense
Guillermo Schutz,Televisa (TUDN),"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Green, Draymond (GSW)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","Tatum, Jayson (BOS)",2022,All-Defense
Dennis Scott,Turner,"Antetokounmpo, Giannis (MIL)","Brown, Jaylen (BOS)","Jackson Jr., Jaren (MEM)","Holiday, Jrue (MIL)","Smart, Marcus (BOS)","Bane, Desmond (MEM)","Barnes, Scottie (TOR)","Adebayo, Bam (MIA)","Paul, Chris (PHX)","Murray, Dejounte (SAS)",2022,All-Defense
Ramona Shelburne,ESPN,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2022,All-Defense
Bill Simmons,The Ringer,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","VanVleet, Fred (TOR)","Thybulle, Matisse (PHI)",2022,All-Defense
Mike Singer,Denver Post,"Jackson Jr., Jaren (MEM)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Adebayo, Bam (MIA)","Mobley, Evan (CLE)","VanVleet, Fred (TOR)","Paul, Chris (PHX)",2022,All-Defense
Anthony Slater,The Athletic,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Williams III, Robert (BOS)","Green, Draymond (GSW)","Adebayo, Bam (MIA)","Lowry, Kyle (MIA)","Thybulle, Matisse (PHI)",2022,All-Defense
Doug Smith,The Toronto Star,"Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Williams III, Robert (BOS)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","VanVleet, Fred (TOR)","Thybulle, Matisse (PHI)",2022,All-Defense
Stephen Smith,ESPN,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Thybulle, Matisse (PHI)","Williams III, Robert (BOS)","VanVleet, Fred (TOR)","Holiday, Jrue (MIL)",2022,All-Defense
Steve Smith,Turner,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Adebayo, Bam (MIA)","Williams III, Robert (BOS)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2022,All-Defense
Seerat Sohi,The Ringer,"Jackson Jr., Jaren (MEM)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Thybulle, Matisse (PHI)","Green, Draymond (GSW)","Adebayo, Bam (MIA)","Payton II, Gary (GSW)","Holiday, Jrue (MIL)",2022,All-Defense
Harris Stavrou,Sport24,"Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Smart, Marcus (BOS)","Jones, Herbert (NOP)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","Murray, Dejounte (SAS)","VanVleet, Fred (TOR)",2022,All-Defense
Daisuke Sugiura,Nihon Keizai Shimbun,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","Jackson Jr., Jaren (MEM)","VanVleet, Fred (TOR)","Holiday, Jrue (MIL)",2022,All-Defense
Justin Termine,Sirius Radio,"Jackson Jr., Jaren (MEM)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Williams III, Robert (BOS)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2022,All-Defense
Christos Tsaltas,SDNA.gr,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Caruso, Alex (CHI)","Smart, Marcus (BOS)","Jackson Jr., Jaren (MEM)","Bridges, Mikal (PHX)","Ayton, Deandre (PHX)","Thybulle, Matisse (PHI)","Booker, Devin (PHX)",2022,All-Defense
Joe Vardon,The Athletic,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Williams III, Robert (BOS)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Holiday, Jrue (MIL)",2022,All-Defense
Eric Walden,Salt Lake Tribune,"Jackson Jr., Jaren (MEM)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Williams III, Robert (BOS)","Finney-Smith, Dorian (DAL)","Adebayo, Bam (MIA)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2022,All-Defense
Gary Washburn,Boston Globe,"Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Anunoby, OG (TOR)","Antetokounmpo, Giannis (MIL)","Williams III, Robert (BOS)","VanVleet, Fred (TOR)","Thybulle, Matisse (PHI)",2022,All-Defense
Michael Wilbon,ESPN,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Finney-Smith, Dorian (DAL)","Williams III, Robert (BOS)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2022,All-Defense
Brian Windhorst,ESPN,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Mobley, Evan (CLE)","Williams III, Robert (BOS)","Paul, Chris (PHX)","Holiday, Jrue (MIL)",2022,All-Defense
Matt Winer,Turner,"Jackson Jr., Jaren (MEM)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)","Adebayo, Bam (MIA)","Williams III, Robert (BOS)","Holiday, Jrue (MIL)","Murray, Dejounte (SAS)",2022,All-Defense
Kristian Winfield,New York Daily News,"Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Jones, Herbert (NOP)","Antetokounmpo, Giannis (MIL)","Williams III, Robert (BOS)","VanVleet, Fred (TOR)","Holiday, Jrue (MIL)",2022,All-Defense
Michael Wright,NBA.com,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Green, Draymond (GSW)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","VanVleet, Fred (TOR)",2022,All-Defense
