Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year
Shams Charania,The Athletic/Stadium,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Siakam, Pascal (TOR)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Harden, James (HOU)","Lillard, Damian (POR)","Middleton, Khris (MIL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Paul, Chris (OKC)",2019
Anthony Chiang,Miami Herald,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Butler, Jimmy (MIA)","Middleton, Khris (MIL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Lowry, Kyle (TOR)","Paul, Chris (OKC)",2019
Davide Chinellato,La Gazzetta dello Sport,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","Tatum, Jayson (BOS)","Jokic, Nikola (DEN)","Westbrook, Russell (HOU)","Lillard, Damian (POR)","Siakam, Pascal (TOR)","Ingram, Brandon (NOP)","Embiid, Joel (PHI)","Harden, James (HOU)","Paul, Chris (OKC)",2019
Joe Cowley,Chicago Sun-Times,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Tatum, Jayson (BOS)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Lillard, Damian (POR)","Middleton, Khris (MIL)","Adebayo, Bam (MIA)","Jokic, Nikola (DEN)","Paul, Chris (OKC)","Westbrook, Russell (HOU)",2019
Antoni Daimiel,Movistar+,"Antetokounmpo, Giannis (MIL)","Siakam, Pascal (TOR)","Davis, Anthony (LAL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Harden, James (HOU)","Lillard, Damian (POR)","Adebayo, Bam (MIA)","Towns, Karl-Anthony (MIN)","Jokic, Nikola (DEN)","Paul, Chris (OKC)","Lowry, Kyle (TOR)",2019
Dan Devine,The Ringer,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","James, LeBron (LAL)","Harden, James (HOU)","Butler, Jimmy (MIA)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (OKC)","Siakam, Pascal (TOR)","Middleton, Khris (MIL)","Gobert, Rudy (UTA)","Tatum, Jayson (BOS)","Simmons, Ben (PHI)",2019
Amin Elhassan,ESPN,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Paul, Chris (OKC)","Harden, James (HOU)","Butler, Jimmy (MIA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Lillard, Damian (POR)","Booker, Devin (PHX)",2019
Chris Fedor,Cleveland.com,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (OKC)","Middleton, Khris (MIL)","Siakam, Pascal (TOR)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Lowry, Kyle (TOR)",2019
Mike Ganter,The Toronto Sun,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Middleton, Khris (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (OKC)","Siakam, Pascal (TOR)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Beal, Bradley (WAS)","Lowry, Kyle (TOR)",2019
Vince Goodwill,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","James, LeBron (LAL)","Harden, James (HOU)","Butler, Jimmy (MIA)","Tatum, Jayson (BOS)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Doncic, Luka (DAL)","Middleton, Khris (MIL)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Paul, Chris (OKC)","Beal, Bradley (WAS)",2019
Jared Greenberg,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Jokic, Nikola (DEN)","Paul, Chris (OKC)","Lillard, Damian (POR)","Siakam, Pascal (TOR)","Middleton, Khris (MIL)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Beal, Bradley (WAS)",2019
Will Guillory,The Athletic,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Harden, James (HOU)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","Middleton, Khris (MIL)","Embiid, Joel (PHI)","Westbrook, Russell (HOU)","Paul, Chris (OKC)",2019
Kevin Harlan,Turner,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Harden, James (HOU)","James, LeBron (LAL)","Butler, Jimmy (MIA)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Lillard, Damian (POR)","Tatum, Jayson (BOS)","Middleton, Khris (MIL)","Gobert, Rudy (UTA)","Paul, Chris (OKC)","Westbrook, Russell (HOU)",2019
Zach Harper,The Athletic,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Harden, James (HOU)","James, LeBron (LAL)","Siakam, Pascal (TOR)","Davis, Anthony (LAL)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Westbrook, Russell (HOU)","Paul, Chris (OKC)",2019
Chris Haynes,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Siakam, Pascal (TOR)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (OKC)","Tatum, Jayson (BOS)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Westbrook, Russell (HOU)","Beal, Bradley (WAS)",2019
Kurt Helin,NBCSports.com,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","James, LeBron (LAL)","Harden, James (HOU)","Butler, Jimmy (MIA)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (OKC)","Siakam, Pascal (TOR)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Lowry, Kyle (TOR)","Mitchell, Donovan (UTA)",2019
Adam Himmelsbach,Boston Globe,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Westbrook, Russell (HOU)","Tatum, Jayson (BOS)","Middleton, Khris (MIL)","Embiid, Joel (PHI)","Paul, Chris (OKC)","Butler, Jimmy (MIA)",2019
Chris Hine,Minneapolis Star Tribune,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Lowry, Kyle (TOR)","Tatum, Jayson (BOS)","Adebayo, Bam (MIA)","Towns, Karl-Anthony (MIN)","Butler, Jimmy (MIA)","Westbrook, Russell (HOU)",2019
Erik Horne,The Athletic,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Butler, Jimmy (MIA)","Lillard, Damian (POR)","Middleton, Khris (MIL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Paul, Chris (OKC)","Westbrook, Russell (HOU)",2019
Lisa Hsu,Tencent,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (OKC)","Butler, Jimmy (MIA)","Siakam, Pascal (TOR)","Gobert, Rudy (UTA)","Young, Trae (ATL)","Beal, Bradley (WAS)",2019
Cassidy Hubbarth,ESPN,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Harden, James (HOU)","James, LeBron (LAL)","Butler, Jimmy (MIA)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Paul, Chris (OKC)","Lillard, Damian (POR)","Siakam, Pascal (TOR)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Middleton, Khris (MIL)",2019
Kelly Iko,The Athletic,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Davis, Anthony (LAL)","Harden, James (HOU)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (OKC)","Butler, Jimmy (MIA)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Westbrook, Russell (HOU)","Beal, Bradley (WAS)",2019
Frank Isola,Sirius Radio,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Harden, James (HOU)","Paul, Chris (OKC)","Siakam, Pascal (TOR)","Middleton, Khris (MIL)","Gobert, Rudy (UTA)","Lowry, Kyle (TOR)","Simmons, Ben (PHI)",2019
Mark Jackson,ESPN,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Embiid, Joel (PHI)","Simmons, Ben (PHI)","Westbrook, Russell (HOU)","Middleton, Khris (MIL)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Paul, Chris (OKC)","Lillard, Damian (POR)",2019
Ernie Johnson,Turner,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Harden, James (HOU)","James, LeBron (LAL)","Siakam, Pascal (TOR)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Lillard, Damian (POR)","Ingram, Brandon (NOP)","Adebayo, Bam (MIA)","Jokic, Nikola (DEN)","Westbrook, Russell (HOU)","Simmons, Ben (PHI)",2019
Mark Jones,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Harden, James (HOU)","Lillard, Damian (POR)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Paul, Chris (OKC)","Butler, Jimmy (MIA)","Tatum, Jayson (BOS)","Embiid, Joel (PHI)","Beal, Bradley (WAS)","Lowry, Kyle (TOR)",2019
Fred Katz,The Athletic,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Harden, James (HOU)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (OKC)","Siakam, Pascal (TOR)","Middleton, Khris (MIL)","Adebayo, Bam (MIA)","Beal, Bradley (WAS)","Simmons, Ben (PHI)",2019
Marc Kestecher,ESPN,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Middleton, Khris (MIL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Simmons, Ben (PHI)","Siakam, Pascal (TOR)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Paul, Chris (OKC)","Beal, Bradley (WAS)",2019
Chris Kirschner,The Athletic,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Davis, Anthony (LAL)","Harden, James (HOU)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (OKC)","Butler, Jimmy (MIA)","Siakam, Pascal (TOR)","Gobert, Rudy (UTA)","Middleton, Khris (MIL)","Simmons, Ben (PHI)",2019
Nick Kosmider,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Westbrook, Russell (HOU)","Tatum, Jayson (BOS)","Siakam, Pascal (TOR)","Embiid, Joel (PHI)","Paul, Chris (OKC)","Butler, Jimmy (MIA)",2019
Andy Larsen,Salt Lake Tribune,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Middleton, Khris (MIL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (OKC)","Adebayo, Bam (MIA)","Siakam, Pascal (TOR)","Gobert, Rudy (UTA)","Tatum, Jayson (BOS)","Butler, Jimmy (MIA)",2019
Kristen Ledlow,Turner,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (OKC)","Middleton, Khris (MIL)","Siakam, Pascal (TOR)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2019
Connor Letourneau,San Francisco Chronicle,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Harden, James (HOU)","James, LeBron (LAL)","Middleton, Khris (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Paul, Chris (OKC)","Lillard, Damian (POR)","Adebayo, Bam (MIA)","Siakam, Pascal (TOR)","Gobert, Rudy (UTA)","Tatum, Jayson (BOS)","Butler, Jimmy (MIA)",2019
Greg Logan,Newsday,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Ingram, Brandon (NOP)","Drummond, Andre (CLE)","Westbrook, Russell (HOU)","Young, Trae (ATL)","LaVine, Zach (CHI)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","Beal, Bradley (WAS)",2019
Zach Lowe,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Paul, Chris (OKC)","Lillard, Damian (POR)","Siakam, Pascal (TOR)","Middleton, Khris (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2019
Coral Lu,ESPN-Tencent,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Simmons, Ben (PHI)","Siakam, Pascal (TOR)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Paul, Chris (OKC)","Mitchell, Donovan (UTA)",2019
Jackie MacMullan,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (OKC)","Siakam, Pascal (TOR)","Middleton, Khris (MIL)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Beal, Bradley (WAS)",2019
Brian Mahoney,Associated Press,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Siakam, Pascal (TOR)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (OKC)","Tatum, Jayson (BOS)","Adebayo, Bam (MIA)","Jokic, Nikola (DEN)","Beal, Bradley (WAS)","Westbrook, Russell (HOU)",2019
Maxime Malet,L'Equipe,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Siakam, Pascal (TOR)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Paul, Chris (OKC)","Butler, Jimmy (MIA)","Middleton, Khris (MIL)","Jokic, Nikola (DEN)","Young, Trae (ATL)","Tatum, Jayson (BOS)",2019
Chris Mannix,Sports Illustrated,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (OKC)","Siakam, Pascal (TOR)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Middleton, Khris (MIL)",2019
